"Discussion, original","Attendees, original","Discussion, kaava","Attendees, kaava","Discussion, kaava","Attendees, kaava","Discussion, yhdistetty","Attendees, yhdistetty",Date text,Kaava pvm,"kaava, eka pvm","kaava, määräävä rivi",Date,"Date, original",Location,,,Source,Topics,link
"Hu Jintao met with Anatoliy Kvashnin, Russian President Vladimir Putin's representative in the Siberian Federal District and Viktor Tolokonsky, governor of Novosibirskaya Region. 
 ","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Viktor Tolokonsky, Anatoliy Kvashnin","Hu Jintao met with Anatoliy Kvashnin, Russian President Vladimir Putin's representative in the Siberian Federal District and Viktor Tolokonsky, governor of Novosibirskaya Region. 
 ","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Viktor Tolokonsky, Anatoliy Kvashnin","Hu Jintao met with Anatoliy Kvashnin, Russian President Vladimir Putin's representative in the Siberian Federal District and Viktor Tolokonsky, governor of Novosibirskaya Region. 
 ","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Viktor Tolokonsky, Anatoliy Kvashnin","Hu Jintao met with Russian President Vladimir Putin.
, Hu Jintao met with Sergei Mironov, chairman of the Federation Council of Russia. 
, Hu Jintao and Russian President Vladimir Putin signed a joint statement on a new world order in the 21st century after their talks. 
, Hu Jintao held talks with Russian Prime Minister Mikhail Fradkov., Hu Jintao met with Anatoliy Kvashnin, Russian President Vladimir Putin's representative in the Siberian Federal District and Viktor Tolokonsky, governor of Novosibirskaya Region. 
 ","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Vladimir Putin, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Sergei Mironov, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Vladimir Putin, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Mikhail Fradkov, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Viktor Tolokonsky, Anatoliy Kvashnin",30.6.2005 - 3.7.2005,3.7.2005,3.7.2005,TRUE,3.7.2005,"July 03, 2005",Russia,Novosibirsk,,,,http://www.chinavitae.com//vip/index.php?mode=show&id=3818
"Hu Jintao attended a celebration ceremony marking the 60th anniversary of the victory of Russia's Great Patriotic War. 
","Hu Jintao, Tang Jiaxuan","Hu Jintao attended a celebration ceremony marking the 60th anniversary of the victory of Russia's Great Patriotic War. 
","Hu Jintao, Tang Jiaxuan","Hu Jintao attended a celebration ceremony marking the 60th anniversary of the victory of Russia's Great Patriotic War. 
","Hu Jintao, Tang Jiaxuan","Hu Jintao met with South Korean President Roh Moo-hyun., Hu Jintao met with Turkmen President Saparmurad Niyazov., Hu Jintao made remarks during a meeting with Russian veterans who helped China force out the Japanese during World War II., Hu Jintao met with Romanian President Traian Bbasescu., Hu Jintao met with French President Jacques Chirac., Hu Jintao met with Russian President Vladimir Putin., Hu Jintao attended a celebration ceremony marking the 60th anniversary of the victory of Russia's Great Patriotic War. 
","Hu Jintao, Tang Jiaxuan,  Roh Moo-hyun, Hu Jintao, Tang Jiaxuan, Saparmurad Niyazov, Hu Jintao, Tang Jiaxuan, Hu Jintao, Tang Jiaxuan, Traian Bbasescu, Hu Jintao, Tang Jiaxuan, Jacques Chirac, Hu Jintao, Tang Jiaxuan, Vladimir Putin, Hu Jintao, Tang Jiaxuan",8.5.2005 - 9.5.2005,9.5.2005,9.5.2005,TRUE,9.5.2005,"May 09, 2005",Russia,Moscow,,,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=3545
Hu Jintao held talks with Philippine President Gloria Macapagal Arroyo.,"Hu Jintao, Bo Xilai, Jin Renqing, Li Zhaoxing, Wang Gang, Gloria Macapagal Arroyo",Hu Jintao held talks with Philippine President Gloria Macapagal Arroyo.,"Hu Jintao, Bo Xilai, Jin Renqing, Li Zhaoxing, Wang Gang, Gloria Macapagal Arroyo",Hu Jintao held talks with Philippine President Gloria Macapagal Arroyo.,"Hu Jintao, Bo Xilai, Jin Renqing, Li Zhaoxing, Wang Gang, Gloria Macapagal Arroyo","Hu Jintao met with Haruhiko Kuroda,  President of the Asian Development Bank (ADB). , Hu Jintao held talks with Philippine President Gloria Macapagal Arroyo.","Hu Jintao, Bo Xilai, Jin Renqing, Li Zhaoxing, Wang Gang, Haruhiko Kuroda, Hu Jintao, Bo Xilai, Jin Renqing, Li Zhaoxing, Wang Gang, Gloria Macapagal Arroyo",27.4.2005,27.4.2005,27.4.2005,TRUE,27.4.2005,"April 27, 2005",Philippines,Manila,,,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=3508
Hu Jintao held talks with Indonesian President Susilo Bambang Yudhoyono.,"Hu Jintao, Bo Xilai, Jin Renqing, Li Zhaoxing, Wang Gang, Susilo Bambang Yudhoyono",Hu Jintao held talks with Indonesian President Susilo Bambang Yudhoyono.,"Hu Jintao, Bo Xilai, Jin Renqing, Li Zhaoxing, Wang Gang, Susilo Bambang Yudhoyono",Hu Jintao held talks with Indonesian President Susilo Bambang Yudhoyono.,"Hu Jintao, Bo Xilai, Jin Renqing, Li Zhaoxing, Wang Gang, Susilo Bambang Yudhoyono","Hu Jintao met with Than Shwe, chairman of the State Peace and Development Council of Myanmar., Hu Jintao met with Nepali King Gyanendra., Hu Jintao met with Thai Prime Minister Thaksin Shinawatra., Hu Jintao met with Pakistani President Pervez Musharraf., He Jintao delivered a speech at the Asian-African Summit., Hu Jintao met with Tajikistan President Emomali Rakhmonov., Hu Jintao met with Indian Prime Minister Manmohan Singh., Hu Jintao met with UN Secretary-General Kofi Annan., Hu Jintao met with Japanese Prime Minister Junichiro Koizumi., Hu Jintao met with Ghanaian President John Agyekum Kufuor., Hu Jintao met with Sudanese President Omar el-Bashir., Hu Jintao attended the celebrating activities for commemorating the golden jubilee of the Bandung Conference., Hu Jintao held talks with Indonesian President Susilo Bambang Yudhoyono.","Hu Jintao, Bo Xilai, Jin Renqing, Li Zhaoxing, Wang Gang, Than Shwe, Hu Jintao, Bo Xilai, Jin Renqing, Li Zhaoxing, Wang Gang,  King Gyanendra, Hu Jintao, Bo Xilai, Jin Renqing, Li Zhaoxing, Wang Gang, Thaksin Shinawatra, Hu Jintao, Bo Xilai, Jin Renqing, Li Zhaoxing, Wang Gang, Pervez Musharraf, Hu Jintao, Bo Xilai, Jin Renqing, Li Zhaoxing, Wang Gang, Hu Jintao, Bo Xilai, Jin Renqing, Li Zhaoxing, Wang Gang, Emomali Rakhmonov, Hu Jintao, Bo Xilai, Jin Renqing, Li Zhaoxing, Wang Gang, Manmohan Singh, Hu Jintao, Bo Xilai, Jin Renqing, Li Zhaoxing, Wang Gang, Kofi Annan, Hu Jintao, Bo Xilai, Jin Renqing, Li Zhaoxing, Wang Gang, Junichiro Koizumi, Hu Jintao, Bo Xilai, Jin Renqing, Li Zhaoxing, Wang Gang, John Agyekum Kufuor, Hu Jintao, Bo Xilai, Jin Renqing, Li Zhaoxing, Wang Gang, Omar el-Bashir, Hu Jintao, Hu Jintao, Bo Xilai, Jin Renqing, Li Zhaoxing, Wang Gang, Susilo Bambang Yudhoyono",22.4.2005 - 25.4.2005,25.4.2005,25.4.2005,TRUE,25.4.2005,"April 25, 2005",Indonesia,Jakarta,,,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=3505
Hu Jintao held talks with  Bruneian Sultan Haji Hassanal Bolkiah.,"Hu Jintao, Bo Xilai, Jin Renqing, Li Zhaoxing, Wang Gang, Haji Hassanal Bolkiah, Haji Hassanal Bolkiah",Hu Jintao held talks with  Bruneian Sultan Haji Hassanal Bolkiah.,"Hu Jintao, Bo Xilai, Jin Renqing, Li Zhaoxing, Wang Gang, Haji Hassanal Bolkiah, Haji Hassanal Bolkiah",Hu Jintao held talks with  Bruneian Sultan Haji Hassanal Bolkiah.,"Hu Jintao, Bo Xilai, Jin Renqing, Li Zhaoxing, Wang Gang, Haji Hassanal Bolkiah, Haji Hassanal Bolkiah",Hu Jintao held talks with  Bruneian Sultan Haji Hassanal Bolkiah.,"Hu Jintao, Bo Xilai, Jin Renqing, Li Zhaoxing, Wang Gang, Haji Hassanal Bolkiah, Haji Hassanal Bolkiah",20.4.2005,20.4.2005,20.4.2005,TRUE,20.4.2005,"April 20, 2005",Brunei,Bandar Seri Begawan,,,,http://www.chinavitae.com//vip/index.php?mode=show&id=3482
Hu Jintao met with Spanish Crown Prince Felipe de Borbon y Grecia.,"Hu Jintao, Prince Felipe de Borbon y Grecia",Hu Jintao met with Spanish Crown Prince Felipe de Borbon y Grecia.,"Hu Jintao, Prince Felipe de Borbon y Grecia",Hu Jintao met with Spanish Crown Prince Felipe de Borbon y Grecia.,"Hu Jintao, Prince Felipe de Borbon y Grecia",Hu Jintao met with Spanish Crown Prince Felipe de Borbon y Grecia.,"Hu Jintao, Prince Felipe de Borbon y Grecia",24.11.2004,24.11.2004,24.11.2004,TRUE,24.11.2004,"November 24, 2004",Spain,Gran Canaria,,,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=2938
"Hu Jintao met with Fidel Castro, president of the Cuban Council of State.","Hu Jintao, Bo Xilai, Li Zhaozhuo, Ma Kai, Wang Gang, Fidel Castro","Hu Jintao met with Fidel Castro, president of the Cuban Council of State.","Hu Jintao, Bo Xilai, Li Zhaozhuo, Ma Kai, Wang Gang, Fidel Castro","Hu Jintao met with Fidel Castro, president of the Cuban Council of State.","Hu Jintao, Bo Xilai, Li Zhaozhuo, Ma Kai, Wang Gang, Fidel Castro","Hu Jintao met with Fidel Castro, president of the Cuban Council of State.","Hu Jintao, Bo Xilai, Li Zhaozhuo, Ma Kai, Wang Gang, Fidel Castro",22.11.2004,22.11.2004,22.11.2004,TRUE,22.11.2004,"November 22, 2004",Cuba,Havana,,,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=2935
Hu Jintao met with Mexican President Vicente Fox.,"Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Vicente Fox",Hu Jintao met with Mexican President Vicente Fox.,"Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Vicente Fox",Hu Jintao met with Mexican President Vicente Fox.,"Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Vicente Fox","Hu Jintao met with Japanese Prime Minister Junichiro Koizumi., Hu Jintao met with Mexican President Vicente Fox.","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Junichiro Koizumi, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Vicente Fox",21.11.2004,21.11.2004,21.11.2004,TRUE,21.11.2004,"November 21, 2004",Egypt,Cairo,,,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=2928
Hu Jintao made a speech at the 12th Economic Leaders' Meeting of the Asia-Pacific Economic Cooperation(APEC).,"Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang",Hu Jintao made a speech at the 12th Economic Leaders' Meeting of the Asia-Pacific Economic Cooperation(APEC).,"Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang",Hu Jintao made a speech at the 12th Economic Leaders' Meeting of the Asia-Pacific Economic Cooperation(APEC).,"Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang","Hu Jintao held talks with Chilean President Ricardo Lagos Escobar., Hu Jintao met with South Korean President  Roh Moo-hyun. 
, Hu Jintao met with Singporean Prime Minister Lee Hsien Loong., Hu Jintao met with New Zealand's Prime Minister Helen Elizabeth Clark on the eve of the 12th APEC Economic Leaders Meeting., Hu Jintao met with Vietnamese President Tran Duc Luong on the eve of the 12th APEC Economic Leaders' Meeting., Hu Jintao met with Russian President Vladimir Putin., Hu Jintao met with Peruvian President Alejandro Toledo Manrique., Hu Jintao met with Canadian Prime Minister Paul Martin., Hu Jintao met with Indonesian president Susilo Bambang., Hu Jintao met with  US President George W. Bush on the sidelines of the 12th APEC Economic Leaders Meeting., Hu Jintao met with Australian Prime Minister John Winston Howard., Hu Jintao made a speech at the 12th Economic Leaders' Meeting of the Asia-Pacific Economic Cooperation(APEC).","Hu Jintao, Wang Gang, Ricardo Lagos Escobar, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang,  Roh Moo-hyun, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Lee Hsien Loong, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Helen Elizabeth Clark, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Tran Duc Luong, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Vladimir Putin, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Alejandro Toledo Manrique, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Paul Martin, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Susilo Bambang, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, George W. Bush, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, John Winston Howard, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang",18.11.2004 - 21.11.2004,21.11.2004,21.11.2004,TRUE,21.11.2004,"November 21, 2004",Chile,Santiago,,,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=2923
"Hu Jintao held talks with Argentine President Nestor Kirchner. 
","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Nestor Kirchner","Hu Jintao held talks with Argentine President Nestor Kirchner. 
","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Nestor Kirchner","Hu Jintao held talks with Argentine President Nestor Kirchner. 
","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Nestor Kirchner","Hu Jintao held talks with Argentine President Nestor Kirchner. 
","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Nestor Kirchner",16.11.2004,16.11.2004,16.11.2004,TRUE,16.11.2004,"November 16, 2004",Argentina,Buenos Aires,,,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=2895
Hu Jintao visited the space research institute of Brazil.,"Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang",Hu Jintao visited the space research institute of Brazil.,"Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang",Hu Jintao visited the space research institute of Brazil.,"Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang","Hu Jintao addressed the National Congress of Brazil, before his speech, Hu met separately with leaders of both houses of parliament. 
, Hu Jintao held talks with Brazilian President Luiz Inacio Lula da Silva., Hu Jintao met with Rosinha Garotinho, Governor of the state of Rio de Janeiro. , Hu Jintao visited the space research institute of Brazil.","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Luiz Inacio Lula da Silva, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Rosinha Garotinho, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang",12.11.2004 - 15.11.2004,15.11.2004,15.11.2004,TRUE,15.11.2004,"November 15, 2004",Brazil,Sao Paulo,,,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=2885
"Hu Jintao met with Portuguese Prime Minister Pedro Santana Lopes, while on a stopover en route to his four-nation tour of Latin America. 
. ","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Pedro Santana Lopes","Hu Jintao met with Portuguese Prime Minister Pedro Santana Lopes, while on a stopover en route to his four-nation tour of Latin America. 
. ","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Pedro Santana Lopes","Hu Jintao met with Portuguese Prime Minister Pedro Santana Lopes, while on a stopover en route to his four-nation tour of Latin America. 
. ","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Pedro Santana Lopes","Hu Jintao met with Portuguese Prime Minister Pedro Santana Lopes, while on a stopover en route to his four-nation tour of Latin America. 
. ","Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Wang Gang, Pedro Santana Lopes",10.11.2004,10.11.2004,10.11.2004,TRUE,10.11.2004,"November 10, 2004",Portugal,Porto,,,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=2865
Hu Jintao met with Russian President Vladimir Putin.,"Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Vladimir Putin",Hu Jintao met with Russian President Vladimir Putin.,"Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Vladimir Putin",Hu Jintao met with Russian President Vladimir Putin.,"Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Vladimir Putin","Hu Jintao and Uzbek President Islam Abduganiyevich Karimov signed a joint statement on further developing a partnership of friendly cooperation., Hu Jintao met with Afghan President Hamid Karzai., Hu Jintao held talks with Kazakh President Nursultan Abishevich Nazarbayev., Hu Jintao held talks with Tajik President Emomali Rakhmonov., Hu Jintao held talks with Kyrgyz President Askar Akayev., Hu Jintao made a speech at the annual summit meeting of the Shanghai Cooperation Organization (SCO)., Hu Jintao and the five leaders formally launched the Regional Anti-terrorist Structure of the Shanghai Cooperation Organization (SCO). 
, Hu Jintao met with Russian President Vladimir Putin.","Hu Jintao, Bo Xilai, Ma Kai, Tang Jiaxuan, Abduganiyevich Karimov, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Hamid Karzai, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Nursultan Nazarbayev, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Emomali Rakhmonov, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Askar Akayev, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Deguang Zhang, Hu Jintao, Bo Xilai, Li Zhaoxing, Ma Kai, Tang Jiaxuan, Vladimir Putin",15.6.2004 - 17.6.2004,17.6.2004,17.6.2004,TRUE,17.6.2004,"June 17, 2004",Uzbekistan,Tashkent,,,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=2167
"Hu Jintao met with Romanian Chairman of Senate Nicolae Vacaroiu and Chairman of the Chamber of Deputies Valer Dorneanu. 
","Hu Jintao, Bo Xilai, Tang Jiaxuan, Nicolae Vacaroiu, Valer Dorneanu","Hu Jintao met with Romanian Chairman of Senate Nicolae Vacaroiu and Chairman of the Chamber of Deputies Valer Dorneanu. 
","Hu Jintao, Bo Xilai, Tang Jiaxuan, Nicolae Vacaroiu, Valer Dorneanu","Hu Jintao met with Romanian Chairman of Senate Nicolae Vacaroiu and Chairman of the Chamber of Deputies Valer Dorneanu. 
","Hu Jintao, Bo Xilai, Tang Jiaxuan, Nicolae Vacaroiu, Valer Dorneanu","Hu Jintao held talks with Romanian President Ion Iliescu., Hu Jintao met with Romanian Prime Minister Adrian Nastase., Hu Jintao met with Romanian Chairman of Senate Nicolae Vacaroiu and Chairman of the Chamber of Deputies Valer Dorneanu. 
","Hu Jintao, Bo Xilai, Tang Jiaxuan, Ion Iliescu, Hu Jintao, Bo Xilai, Tang Jiaxuan, Adrian Nastase, Hu Jintao, Bo Xilai, Tang Jiaxuan, Nicolae Vacaroiu, Valer Dorneanu",13.6.2004 - 14.6.2004,14.6.2004,14.6.2004,TRUE,14.6.2004,"June 14, 2004",Romania,Bucharest,,,,http://www.chinavitae.com//vip/index.php?mode=show&id=2136
"Hu Jintao met with Szili Katalin, President of the Hungarian National Assembly. ","Hu Jintao, Bo Xilai, Tang Jiaxuan, Szili Katalin","Hu Jintao met with Szili Katalin, President of the Hungarian National Assembly. ","Hu Jintao, Bo Xilai, Tang Jiaxuan, Szili Katalin","Hu Jintao met with Szili Katalin, President of the Hungarian National Assembly. ","Hu Jintao, Bo Xilai, Tang Jiaxuan, Szili Katalin","Hu Jintao held talks with Hungarian President Madl Ferenc., Hu Jintao met with Hungarian Prime Minister Medgyessy Peter. 
, Hu Jintao met with Szili Katalin, President of the Hungarian National Assembly. ","Hu Jintao, Bo Xilai, Li Zhaoxing, Tang Jiaxuan, Madl Ferenc, Hu Jintao, Bo Xilai, Tang Jiaxuan, Medgyessy Peter, Hu Jintao, Bo Xilai, Tang Jiaxuan, Szili Katalin",10.6.2004 - 11.6.2004,11.6.2004,11.6.2004,TRUE,11.6.2004,"June 11, 2004",Hungary,Budapest,,,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=2123
Hu Jintao met with Polish Prime Minister Marek Belka.,"Hu Jintao, Bo Xilai, Li Zhaoxing, Tang Jiaxuan, Marek Belka",Hu Jintao met with Polish Prime Minister Marek Belka.,"Hu Jintao, Bo Xilai, Li Zhaoxing, Tang Jiaxuan, Marek Belka",Hu Jintao met with Polish Prime Minister Marek Belka.,"Hu Jintao, Bo Xilai, Li Zhaoxing, Tang Jiaxuan, Marek Belka","Hu Jintao and Polish President Aleksander Kwasniewski attended the signing ceremony of Sino-Polish Joint Communique., Hu Jintao met with Polish Senate Speaker Longin Hieronim Pastusiak., Hu Jintao met with Jozef Oleksy, speaker of the House of Representatives of Poland. , Hu Jintao met with Polish Prime Minister Marek Belka.","Hu Jintao, Bo Xilai, Li Zhaoxing, Tang Jiaxuan, Aleksander Kwasniewski, Hu Jintao, Bo Xilai, Li Zhaoxing, Tang Jiaxuan, Longin Hieronim Pastusiak, Hu Jintao, Bo Xilai, Li Zhaoxing, Tang Jiaxuan, Jozef Oleksy, Hu Jintao, Bo Xilai, Li Zhaoxing, Tang Jiaxuan, Marek Belka",8.6.2004 - 9.6.2004,9.6.2004,9.6.2004,TRUE,9.6.2004,"June 09, 2004",Poland,Warsaw,,,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=2115
